Vehicle_Register_Number,Model,Registration Date,Manufacture Yr,Branch,Bus_Num
TN87F2652,TATA,29/01/2025,,REC BUS,
TN87F2602,TATA,29/01/2025,,REC BUS,
TN 87 1121,Ashok Leyland - 17,14/04/2023,2016,REC BUS,17
TN 87 D 7331,Bus,27/07/2023,,REC BUS,
TN 87 D 9884,Bus,08/08/2023,,REC BUS,
TN87E7207,BUS(TATA),13/12/2024,,REC BUS,
TN87E7747,BUS(TATA),13/12/2024,,REC BUS,
TN87E7654,BUS(TATA),13/12/2024,,REC BUS,
TN87F0976,BUS(TATA),16/12/2024,,REC BUS,
TN87E7166,,20/12/2024,,REC BUS,
TN87F2637,TATA,29/01/2025,,REC BUS,
TN87E7626,BUS(TATA),12/12/2024,,REC BUS,
TN 87 F 2685,BUS(TATA),13/12/2024,,REC BUS,
TN87E7125,BUS(TATA),16/12/2024,,REC BUS,
TN87E6455,TATA,29/01/2025,,REC BUS,
TN87F2619,TATA,29/01/2025,,REC BUS,
TN87F1102,TATA,29/01/2025,,REC BUS,
TN 87 D 6651,TATA,03/03/2023,,REC BUS,
TN 87 D 7350,Bus,27/07/2023,,REC BUS,
TN 87 D 9895,Bus,08/08/2023,,REC BUS,
TN87F2607,BUS(TATA),13/12/2024,,REC BUS,
TN87E7178,BUS(TATA),16/12/2024,,REC BUS,
TN87F2603,TATA,29/01/2025,,REC BUS,
TN87E7249,BUS(TATA),13/12/2024,,REC BUS,
TN87E9736,BUS(TATA),16/12/2024,,REC BUS,
TN87E7215,BUS(TATA),16/12/2024,,REC BUS,
TN 21 BY 1608,TATA LPO - 20,27/01/2017,2016,REC BUS,20
TN 87 0442,Ashok Leyland - 17B,27/03/2017,2016,REC BUS,17B
TN 87 1044,TATA LPO - 19 A,13/04/2017,2016,REC BUS,19A
TN 87 2260,TATA LPO -19,09/06/2017,2017,REC BUS,19
TN 87 2431,TATA LPO - 20B,14/06/2017,2016,REC BUS,20B
TN 87 2297,TATA LPO - 4C,,2017,REC BUS,4C
TN 87 8022,TATA LPO - 25,21/02/2018,2017,REC BUS,25
TN 87 A 1770,TATA LPO -  4,,2017,REC BUS,4
TN 87 A 3308,MTB T40 COMFIO - 26,18/09/2018,2018,REC BUS,26
TN 12 BH 9903,Mahindra,31/12/2018,2018,REC BUS,
TN 87 B 0884,TATA LPO - 38,02/08/2019,2019,REC BUS,38
TN 12 BJ 6627,MTB T40 COMFIO - 28C,18/11/2018,2018,REC BUS,28C
TN 87 B 0896,TATA LPO - 41C,,2019,REC BUS,41C
TN 21 BY 1639,TATA LPO - 24C,27/01/2017,2016,REC BUS,24C
TN 87 0450,Ashok Leyland 27C,27/03/2017,2016,REC BUS,27C
TN 87 2315,TATA LPO - 29,09/06/2017,2017,REC BUS,29
TN 87 2455,TATA LPO - 40B,,2017,REC BUS,40B
TN 87 2299,TATA LPO - 12,09/06/2017,2017,REC BUS,12
TN 87 8037,TATA LPO - 31,,2017,REC BUS,31
TN 87 A 3540,TATA LPO - 26C,30/09/2018,2018,REC BUS,26C
TN 87 A 3312,MTS T40 COMFIO 21C,18/09/2018,2018,REC BUS,21C
TN12BH6042,Mahindra,31/12/2018,2018,REC BUS,
TN 87 B 0828,TATA LPO - 41,01/08/2019,2019,REC BUS,41
TN12BK6781,MTB T40 COMFIO -16B,02/11/2018,2018,REC BUS,16B
TN 87 B 0871,TATA LPO - 1C,02/08/2019,2019,REC BUS,1C
TN 87 E 1253,Mahindra,31/01/2023,,REC BUS,
TN 87 D 9875,Mahindra,31/01/2023,,REC BUS,
