Asset,Zone,Model,Data Received,Actions,,,,,,,,,,,,,,
TN87F1102,REC BUS,TATA,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.6683333+79.5405833,,,,,,,,,,,,,,
TN 87 2455,REC BUS,TATA LPO - 40B,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.7721166+79.6792840,,,,,,,,,,,,,,
TN 87 D 6651,REC BUS,TATA,16/03/2026 01:56,http://maps.google.com/maps?z=1&t=m&q=loc:12.7721333+79.6796321,,,,,,,,,,,,,,
TN87F2619,REC BUS,TATA,01/04/2026 18:31,http://maps.google.com/maps?z=1&t=m&q=loc:12.77214+79.6796216,,,,,,,,,,,,,,
TN 87 D 7331,REC BUS,Bus,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.7730178+80.0100135,,,,,,,,,,,,,,
TN 87 D 6684,REC BUS,Mahindra,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.7732586+80.0101852,,,,,,,,,,,,,,
TN87E6455,REC BUS,TATA,01/04/2026 20:18,http://maps.google.com/maps?z=1&t=m&q=loc:12.77328+80.0101633,,,,,,,,,,,,,,
TN 87 2433,REC BUS,TATA LPO 40,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.875276666666666+79.69206833333334,,,,,,,,,,,,,,
TN 87 2436,REC BUS,TATA LPO 41,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.8753005+79.6921825,,,,,,,,,,,,,,
TN 87 0268,REC BUS,Ashok Leyland 22,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.8971838+80.2271842,,,,,,,,,,,,,,
TN12BH6991,REC BUS,MTB T40 COMFIO 33,31/03/2026 17:28,http://maps.google.com/maps?z=1&t=m&q=loc:12.914515+80.24977333333334,,,,,,,,,,,,,,
TN87F2603,REC BUS,TATA,01/04/2026 18:41,http://maps.google.com/maps?z=1&t=m&q=loc:12.9160116+80.0735216,,,,,,,,,,,,,,
TN87E7654,REC BUS,BUS(TATA),01/04/2026 16:16,http://maps.google.com/maps?z=1&t=m&q=loc:12.9304733+80.1157716,,,,,,,,,,,,,,
TN87E7178,REC BUS,BUS(TATA),01/04/2026 17:46,http://maps.google.com/maps?z=1&t=m&q=loc:12.9426399+80.0850033,,,,,,,,,,,,,,
TN 87 0442,REC BUS,Ashok Leyland - 17B,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.943595+80.18450833333333,,,,,,,,,,,,,,
TN 87 F 2685,REC BUS,BUS(TATA),01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.9436499+80.18454,,,,,,,,,,,,,,
TN87F2607,REC BUS,BUS(TATA),01/04/2026 18:08,http://maps.google.com/maps?z=1&t=m&q=loc:12.9437083+80.1844483,,,,,,,,,,,,,,
TN87F2637,REC BUS,TATA,01/04/2026 17:50,http://maps.google.com/maps?z=1&t=m&q=loc:12.9437266+80.18441,,,,,,,,,,,,,,
TN87F0976,REC BUS,BUS(TATA),01/04/2026 20:24,http://maps.google.com/maps?z=1&t=m&q=loc:12.9437683+80.1843283,,,,,,,,,,,,,,
TN87E7626,REC BUS,BUS(TATA),01/04/2026 21:17,http://maps.google.com/maps?z=1&t=m&q=loc:12.9437816+80.1841066,,,,,,,,,,,,,,
TN87F2652,REC BUS,TATA,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.9438033+80.1846416,,,,,,,,,,,,,,
