osm_id,highway,name,length_m,routes,status
43158266,residential,(unnamed),2714,"Route E13, Route E17, Route E5, Route E6",DROPPED
564896005,residential,(unnamed),1095,Route W3,DROPPED
385630680,unclassified,(unnamed),1062,Route W1,DROPPED
206344810,residential,(unnamed),1052,Route W4,DROPPED
384707080,residential,(unnamed),1048,Route E1,DROPPED
1119334740,unclassified,(unnamed),956,Route N1,DROPPED
384427755,residential,(unnamed),873,Route E1,DROPPED
1075636002,residential,(unnamed),839,"Route N3, Route N5",DROPPED
831665067,service,(unnamed),812,Route W3,DROPPED
559627816,residential,(unnamed),812,Route E5,DROPPED
47415262,residential,Kathbada Road,777,Route E16,DROPPED
385542613,residential,1st Main Road,775,Route N3,DROPPED
831665085,service,(unnamed),722,Route W3,DROPPED
68543366,residential,Deiva Nagar Main Road,707,Route E1,DROPPED
23634186,residential,(unnamed),687,Route E12,DROPPED
184733113,residential,(unnamed),682,"Route E16, Route E9",DROPPED
833736245,service,(unnamed),671,Route W1,DROPPED
384435867,residential,(unnamed),612,Route E1,DROPPED
834160123,unclassified,(unnamed),583,Route N3,DROPPED
389434026,service,(unnamed),553,"Route E5, Route E6",DROPPED
834644960,residential,(unnamed),525,Route E1,DROPPED
673294912,residential,(unnamed),508,"Route E13, Route E18, Route E20, Route E5, Route E6",DROPPED
650598571,residential,(unnamed),505,Route E1,DROPPED
1076491294,service,(unnamed),504,"Route E13, Route E17, Route E18, Route E5, Route E6",DROPPED
1172691684,residential,(unnamed),502,Route N2,DROPPED
189493180,residential,Dhandapani Street,497,Route E10,DROPPED
384435871,residential,(unnamed),496,Route E1,DROPPED
24240034,residential,(unnamed),485,"Route E16, Route E9",DROPPED
1066925614,residential,6th Avenue,468,Route E1,DROPPED
833411745,residential,(unnamed),464,Route E1,DROPPED
23634183,residential,(unnamed),429,Route E12,DROPPED
838413003,service,(unnamed),426,Route E20,DROPPED
723302963,residential,(unnamed),425,Route S4,DROPPED
23030569,residential,(unnamed),421,Route E8,DROPPED
208174992,residential,Devaraj street,418,Route E1,DROPPED
836972618,residential,Thiruvalluvar Street,415,"Route E13, Route E5",DROPPED
836793562,unclassified,(unnamed),412,"Route E13, Route E17, Route E5, Route E6",DROPPED
389566289,residential,(unnamed),410,Route N3,DROPPED
1090950102,residential,(unnamed),401,Route E16,DROPPED
752089414,service,(unnamed),396,Route E8,DROPPED
