vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:58:05,12.938811,80.204841,204841,2025-09-04T23:25:04.739714
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:57:06,12.938811,80.204841,204841,2025-09-04T23:25:04.739926
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:56:07,12.938811,80.204841,204841,2025-09-04T23:25:04.740094
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:55:08,12.938811,80.204841,204841,2025-09-04T23:25:04.740267
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:54:09,12.938811,80.204841,204841,2025-09-04T23:25:04.740417
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:53:09,12.938811,80.204841,204841,2025-09-04T23:25:04.740590
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:52:10,12.938811,80.204841,204841,2025-09-04T23:25:04.740781
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:51:11,12.938811,80.204841,204841,2025-09-04T23:25:04.740985
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:50:12,12.938811,80.204841,204841,2025-09-04T23:25:04.741136
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:49:13,12.938811,80.204841,204841,2025-09-04T23:25:04.741304
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:48:14,12.938811,80.204841,204841,2025-09-04T23:25:04.741489
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:47:15,12.938811,80.204841,204841,2025-09-04T23:25:04.741671
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:46:16,12.938811,80.204841,204841,2025-09-04T23:25:04.741834
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:45:17,12.938811,80.204841,204841,2025-09-04T23:25:04.741970
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:44:18,12.938811,80.204841,204841,2025-09-04T23:25:04.742133
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:43:19,12.938811,80.204841,204841,2025-09-04T23:25:04.742286
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:42:20,12.938811,80.204841,204841,2025-09-04T23:25:04.742416
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:41:21,12.938811,80.204841,204841,2025-09-04T23:25:04.742554
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:40:22,12.938811,80.204841,204841,2025-09-04T23:25:04.742711
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:39:23,12.938811,80.204841,204841,2025-09-04T23:25:04.742829
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:38:24,12.938811,80.204841,204841,2025-09-04T23:25:04.742936
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:37:25,12.938811,80.204841,204841,2025-09-04T23:25:04.743037
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:36:26,12.938811,80.204841,204841,2025-09-04T23:25:04.743161
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:35:27,12.938811,80.204841,204841,2025-09-04T23:25:04.743312
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:34:27,12.938811,80.204841,204841,2025-09-04T23:25:04.743451
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:33:28,12.938811,80.204841,204841,2025-09-04T23:25:04.743553
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:32:29,12.938811,80.204841,204841,2025-09-04T23:25:04.743679
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:31:30,12.938811,80.204841,204841,2025-09-04T23:25:04.743825
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:30:31,12.938811,80.204841,204841,2025-09-04T23:25:04.743956
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:29:32,12.938811,80.204841,204841,2025-09-04T23:25:04.744064
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:28:33,12.938811,80.204841,204841,2025-09-04T23:25:04.744190
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:27:34,12.938811,80.204841,204841,2025-09-04T23:25:04.744333
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:26:35,12.938811,80.204841,204841,2025-09-04T23:25:04.744481
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:25:36,12.938811,80.204841,204841,2025-09-04T23:25:04.744682
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:24:37,12.938811,80.204841,204841,2025-09-04T23:25:04.744818
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:23:38,12.938811,80.204841,204841,2025-09-04T23:25:04.744942
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:22:39,12.938811,80.204841,204841,2025-09-04T23:25:04.745139
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:21:40,12.938811,80.204841,204841,2025-09-04T23:25:04.745335
TN 01 BF 0959,865933032839082,1.0,0.0,0.0,03/09/2025 23:20:41,12.938811,80.204841,204841,2025-09-04T23:25:04.745491
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:19:42,12.938811,80.204841,204841,2025-09-04T23:25:04.745650
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:18:43,12.938811,80.204841,204841,2025-09-04T23:25:04.745792
TN 01 BF 0959,865933032839082,0.0,0.0,0.0,03/09/2025 23:17:44,12.938811,80.204841,204841,2025-09-04T23:25:04.745943
