vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:58:48,13.044438,80.196411,196411,2025-09-04T23:25:01.624656
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:58:18,13.044438,80.196411,196411,2025-09-04T23:25:01.624850
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:57:47,13.044438,80.196411,196411,2025-09-04T23:25:01.624991
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:57:16,13.044438,80.196411,196411,2025-09-04T23:25:01.625148
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:56:46,13.044438,80.196411,196411,2025-09-04T23:25:01.625284
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:56:15,13.044438,80.196411,196411,2025-09-04T23:25:01.625438
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:55:45,13.044438,80.196411,196411,2025-09-04T23:25:01.625581
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:55:15,13.044438,80.196411,196411,2025-09-04T23:25:01.625732
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:54:44,13.044438,80.196411,196411,2025-09-04T23:25:01.625846
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:54:14,13.044438,80.196411,196411,2025-09-04T23:25:01.625947
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:53:43,13.044438,80.196411,196411,2025-09-04T23:25:01.626122
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:53:12,13.044438,80.196411,196411,2025-09-04T23:25:01.626255
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:52:42,13.044438,80.196411,196411,2025-09-04T23:25:01.626395
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:52:11,13.044438,80.196411,196411,2025-09-04T23:25:01.626542
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:51:41,13.044438,80.196411,196411,2025-09-04T23:25:01.626644
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:51:10,13.044438,80.196411,196411,2025-09-04T23:25:01.626808
TN 01 BM 4432,865933032610640,0.0,0.0,0.0,03/09/2025 23:50:40,13.044438,80.196411,196411,2025-09-04T23:25:01.627022
