vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:41:42,12.943923,80.183868,183868,2025-09-04T23:26:28.994514
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:40:45,12.943923,80.183868,183868,2025-09-04T23:26:28.994767
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:39:46,12.943923,80.183868,183868,2025-09-04T23:26:28.994974
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:39:46,12.943923,80.183868,183868,2025-09-04T23:26:28.995189
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:38:47,12.943923,80.183868,183868,2025-09-04T23:26:28.995367
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:37:48,12.943923,80.183868,183868,2025-09-04T23:26:28.995586
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:36:49,12.943923,80.183868,183868,2025-09-04T23:26:28.995790
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:35:50,12.943923,80.183868,183868,2025-09-04T23:26:28.996018
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:34:51,12.943923,80.183868,183868,2025-09-04T23:26:28.996250
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:33:52,12.943923,80.183868,183868,2025-09-04T23:26:28.996406
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:32:53,12.943924,80.183876,183876,2025-09-04T23:26:28.996607
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:31:54,12.943924,80.183876,183876,2025-09-04T23:26:28.996813
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:30:55,12.943924,80.183876,183876,2025-09-04T23:26:28.997012
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:29:56,12.943926,80.183876,183876,2025-09-04T23:26:28.997231
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:28:57,12.943926,80.183876,183876,2025-09-04T23:26:28.997350
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:27:58,12.943928,80.183876,183876,2025-09-04T23:26:28.997465
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 23:26:59,12.943878,80.18383,183830,2025-09-04T23:26:28.997621
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:59:01,12.943878,80.18383,183830,2025-09-04T23:26:28.997752
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:58:33,12.943878,80.18383,183830,2025-09-04T23:26:28.997865
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:58:33,12.943878,80.18383,183830,2025-09-04T23:26:28.997999
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:57:34,12.943878,80.18383,183830,2025-09-04T23:26:28.998124
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:56:35,12.943878,80.18383,183830,2025-09-04T23:26:28.998265
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:55:36,12.943878,80.18383,183830,2025-09-04T23:26:28.998375
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:54:37,12.943878,80.18383,183830,2025-09-04T23:26:28.998493
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:53:38,12.943877,80.183822,183822,2025-09-04T23:26:28.998638
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:52:39,12.943877,80.183822,183822,2025-09-04T23:26:28.998779
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:51:40,12.94388,80.18383,183830,2025-09-04T23:26:28.998958
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:50:41,12.94388,80.18383,183830,2025-09-04T23:26:28.999130
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:49:42,12.943877,80.18383,183830,2025-09-04T23:26:28.999301
TN 01 BP 3206,865933032027613,0.0,0.0,0.0,03/09/2025 22:48:43,12.94388,80.18383,183830,2025-09-04T23:26:28.999478
