vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:58:53,13.080095,80.233612,233612,2025-09-04T23:24:54.401413
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:57:54,13.080095,80.233612,233612,2025-09-04T23:24:54.401586
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:56:55,13.080095,80.233612,233612,2025-09-04T23:24:54.401771
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:55:56,13.080095,80.233612,233612,2025-09-04T23:24:54.401990
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:54:56,13.080095,80.233612,233612,2025-09-04T23:24:54.402167
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:53:57,13.080095,80.233612,233612,2025-09-04T23:24:54.402309
TN 01 BU 2283,865933032838860,1.0,0.0,0.0,03/09/2025 23:52:58,13.080095,80.233612,233612,2025-09-04T23:24:54.402495
TN 01 BU 2283,865933032838860,1.0,0.0,0.0,03/09/2025 23:51:59,13.080095,80.233612,233612,2025-09-04T23:24:54.402663
TN 01 BU 2283,865933032838860,1.0,0.0,0.0,03/09/2025 23:51:00,13.080095,80.233612,233612,2025-09-04T23:24:54.402839
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:50:01,13.080095,80.233612,233612,2025-09-04T23:24:54.403022
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:49:01,13.080095,80.233612,233612,2025-09-04T23:24:54.403229
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:48:02,13.080095,80.233612,233612,2025-09-04T23:24:54.403428
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:47:03,13.080095,80.233612,233612,2025-09-04T23:24:54.403587
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:46:04,13.080095,80.233612,233612,2025-09-04T23:24:54.403726
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:45:05,13.080095,80.233612,233612,2025-09-04T23:24:54.403874
TN 01 BU 2283,865933032838860,1.0,0.0,0.0,03/09/2025 23:44:06,13.080095,80.233612,233612,2025-09-04T23:24:54.404069
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:43:06,13.080095,80.233612,233612,2025-09-04T23:24:54.404287
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:42:07,13.080095,80.233612,233612,2025-09-04T23:24:54.404450
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:41:08,13.080095,80.233612,233612,2025-09-04T23:24:54.404563
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:40:09,13.080095,80.233612,233612,2025-09-04T23:24:54.404698
TN 01 BU 2283,865933032838860,0.0,0.0,0.0,03/09/2025 23:39:10,13.080095,80.233612,233612,2025-09-04T23:24:54.404841
