vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:58:35,13.011659,80.00077,000770,2025-09-04T23:24:57.818034
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:58:05,13.011659,80.00077,000770,2025-09-04T23:24:57.818253
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:57:34,13.011659,80.00077,000770,2025-09-04T23:24:57.818436
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:57:04,13.011659,80.00077,000770,2025-09-04T23:24:57.818584
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:56:33,13.011659,80.00077,000770,2025-09-04T23:24:57.818741
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:56:03,13.011659,80.00077,000770,2025-09-04T23:24:57.818907
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:55:32,13.011659,80.00077,000770,2025-09-04T23:24:57.819050
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:55:02,13.011659,80.00077,000770,2025-09-04T23:24:57.819216
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:54:31,13.011659,80.00077,000770,2025-09-04T23:24:57.819338
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:54:01,13.011659,80.00077,000770,2025-09-04T23:24:57.819442
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:53:30,13.011659,80.00077,000770,2025-09-04T23:24:57.819569
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:53:00,13.011659,80.00077,000770,2025-09-04T23:24:57.819705
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:52:29,13.011659,80.00077,000770,2025-09-04T23:24:57.819821
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:51:59,13.011659,80.00077,000770,2025-09-04T23:24:57.819952
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:51:28,13.011659,80.00077,000770,2025-09-04T23:24:57.820110
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:50:58,13.011659,80.00077,000770,2025-09-04T23:24:57.820249
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:50:27,13.011659,80.00077,000770,2025-09-04T23:24:57.820353
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:49:57,13.011659,80.00077,000770,2025-09-04T23:24:57.820485
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:49:26,13.011659,80.00077,000770,2025-09-04T23:24:57.820601
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:48:56,13.011659,80.00077,000770,2025-09-04T23:24:57.820763
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:48:26,13.011659,80.00077,000770,2025-09-04T23:24:57.820902
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:47:55,13.011659,80.00077,000770,2025-09-04T23:24:57.821024
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:47:25,13.011659,80.00077,000770,2025-09-04T23:24:57.821169
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:46:54,13.011659,80.00077,000770,2025-09-04T23:24:57.821305
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:46:24,13.011659,80.00077,000770,2025-09-04T23:24:57.821440
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:45:53,13.011659,80.00077,000770,2025-09-04T23:24:57.821557
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:45:23,13.011659,80.00077,000770,2025-09-04T23:24:57.821672
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:44:52,13.011659,80.00077,000770,2025-09-04T23:24:57.821800
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:44:22,13.011659,80.00077,000770,2025-09-04T23:24:57.821911
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:43:51,13.011659,80.00077,000770,2025-09-04T23:24:57.822032
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:43:21,13.011659,80.00077,000770,2025-09-04T23:24:57.822187
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:42:50,13.011659,80.00077,000770,2025-09-04T23:24:57.822354
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:42:20,13.011659,80.00077,000770,2025-09-04T23:24:57.822515
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:41:49,13.011659,80.00077,000770,2025-09-04T23:24:57.822674
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:41:19,13.011659,80.00077,000770,2025-09-04T23:24:57.822844
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:40:49,13.011659,80.00077,000770,2025-09-04T23:24:57.823007
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:40:19,13.011659,80.00077,000770,2025-09-04T23:24:57.823179
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:39:48,13.011659,80.00077,000770,2025-09-04T23:24:57.823326
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:39:18,13.011659,80.00077,000770,2025-09-04T23:24:57.823431
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:38:47,13.011659,80.00077,000770,2025-09-04T23:24:57.823527
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:38:17,13.011659,80.00077,000770,2025-09-04T23:24:57.823650
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:37:46,13.011659,80.00077,000770,2025-09-04T23:24:57.823779
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:37:16,13.011659,80.00077,000770,2025-09-04T23:24:57.823917
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:36:45,13.011659,80.00077,000770,2025-09-04T23:24:57.824060
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:36:15,13.011659,80.00077,000770,2025-09-04T23:24:57.824179
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:35:44,13.011659,80.00077,000770,2025-09-04T23:24:57.824307
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:35:14,13.011659,80.00077,000770,2025-09-04T23:24:57.824414
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:34:44,13.011659,80.00077,000770,2025-09-04T23:24:57.824543
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:34:13,13.011659,80.00077,000770,2025-09-04T23:24:57.824748
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:33:43,13.011659,80.00077,000770,2025-09-04T23:24:57.824946
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:33:12,13.011659,80.00077,000770,2025-09-04T23:24:57.825139
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:32:42,13.011659,80.00077,000770,2025-09-04T23:24:57.825339
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:32:11,13.011659,80.00077,000770,2025-09-04T23:24:57.825520
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:31:41,13.011659,80.00077,000770,2025-09-04T23:24:57.825703
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:31:10,13.011659,80.00077,000770,2025-09-04T23:24:57.825890
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:30:40,13.011659,80.00077,000770,2025-09-04T23:24:57.826085
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:30:09,13.011659,80.00077,000770,2025-09-04T23:24:57.826267
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:29:39,13.011659,80.00077,000770,2025-09-04T23:24:57.826431
TN 05 BD 6534,865933032609816,0.0,0.0,0.0,03/09/2025 23:29:09,13.011659,80.00077,000770,2025-09-04T23:24:57.826568
