vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 23:34:24,13.044316,80.196472,196472,2025-09-04T23:24:47.461754
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 23:04:50,13.044316,80.196472,196472,2025-09-04T23:24:47.461985
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 22:35:16,13.044316,80.196472,196472,2025-09-04T23:24:47.462185
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 22:05:41,13.044316,80.196472,196472,2025-09-04T23:24:47.462368
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 21:36:05,13.044316,80.196472,196472,2025-09-04T23:24:47.462546
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 21:06:28,13.044316,80.196472,196472,2025-09-04T23:24:47.462715
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 20:36:50,13.044316,80.196472,196472,2025-09-04T23:24:47.462871
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 20:07:09,13.044316,80.196472,196472,2025-09-04T23:24:47.463058
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:37:29,13.044316,80.196472,196472,2025-09-04T23:24:47.463225
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:36:42,13.044316,80.196472,196472,2025-09-04T23:24:47.463409
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:35:43,13.044316,80.196472,196472,2025-09-04T23:24:47.463605
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:34:44,13.044316,80.196472,196472,2025-09-04T23:24:47.463784
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:33:44,13.044316,80.196472,196472,2025-09-04T23:24:47.463910
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:32:45,13.044316,80.196472,196472,2025-09-04T23:24:47.464038
TN 05 CS 6207,865933032839280,0.0,0.0,0.0,03/09/2025 19:31:45,13.044316,80.196472,196472,2025-09-04T23:24:47.464186
TN 05 CS 6207,865933032839280,6.0,0.01,0.0,03/09/2025 19:30:46,13.044316,80.196472,196472,2025-09-04T23:24:47.464312
TN 05 CS 6207,865933032839280,17.0,0.06,0.0,03/09/2025 19:30:42,13.044248,80.196578,196578,2025-09-04T23:24:47.464488
TN 05 CS 6207,865933032839280,20.0,0.09,0.0,03/09/2025 19:30:37,13.044186,80.196815,196815,2025-09-04T23:24:47.464692
TN 05 CS 6207,865933032839280,18.0,0.11,0.0,03/09/2025 19:30:34,13.044161,80.196983,196983,2025-09-04T23:24:47.464853
TN 05 CS 6207,865933032839280,14.0,0.13,0.0,03/09/2025 19:30:32,13.044126,80.197059,197059,2025-09-04T23:24:47.465070
TN 05 CS 6207,865933032839280,14.0,0.15,0.0,03/09/2025 19:30:30,13.044065,80.19712,197120,2025-09-04T23:24:47.465257
TN 05 CS 6207,865933032839280,6.0,0.15,0.0,03/09/2025 19:30:25,13.043951,80.197151,197151,2025-09-04T23:24:47.465432
TN 05 CS 6207,865933032839280,10.0,0.48,0.0,03/09/2025 19:30:23,13.043928,80.197128,197128,2025-09-04T23:24:47.465606
TN 05 CS 6207,865933032839280,13.0,0.53,0.0,03/09/2025 19:29:40,13.04432,80.194038,194038,2025-09-04T23:24:47.465785
TN 05 CS 6207,865933032839280,8.0,0.69,0.0,03/09/2025 19:29:04,13.044133,80.19371,193710,2025-09-04T23:24:47.465957
TN 05 CS 6207,865933032839280,8.0,0.7,0.0,03/09/2025 19:28:24,13.042721,80.19342,193420,2025-09-04T23:24:47.466158
TN 05 CS 6207,865933032839280,11.0,0.81,0.0,03/09/2025 19:28:17,13.042592,80.193397,193397,2025-09-04T23:24:47.466364
TN 05 CS 6207,865933032839280,11.0,0.87,0.0,03/09/2025 19:27:56,13.041582,80.19326,193260,2025-09-04T23:24:47.466578
TN 05 CS 6207,865933032839280,14.0,0.9,0.0,03/09/2025 19:27:43,13.041125,80.193199,193199,2025-09-04T23:24:47.466787
TN 05 CS 6207,865933032839280,13.0,0.9,0.0,03/09/2025 19:27:35,13.040781,80.193191,193191,2025-09-04T23:24:47.466994
TN 05 CS 6207,865933032839280,7.0,1.2,0.0,03/09/2025 19:27:33,13.040724,80.193183,193183,2025-09-04T23:24:47.467172
TN 05 CS 6207,865933032839280,21.0,1.23,0.0,03/09/2025 19:26:34,13.038073,80.192825,192825,2025-09-04T23:24:47.467312
TN 05 CS 6207,865933032839280,9.0,1.27,0.0,03/09/2025 19:26:27,13.037801,80.192871,192871,2025-09-04T23:24:47.467482
TN 05 CS 6207,865933032839280,14.0,1.27,0.0,03/09/2025 19:26:09,13.037461,80.192817,192817,2025-09-04T23:24:47.467660
TN 05 CS 6207,865933032839280,11.0,1.31,0.0,03/09/2025 19:26:08,13.037423,80.192817,192817,2025-09-04T23:24:47.467807
