vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:59,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.729509
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:55,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.729710
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:50,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.729952
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:45,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.730195
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:40,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.730466
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:35,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.730690
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:30,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.730878
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:25,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.731070
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:20,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.731247
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:15,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.731423
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:10,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.731604
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:06,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.731771
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:58:01,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.731954
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:56,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.732122
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:51,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.732277
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:46,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.732446
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:41,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.732635
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:36,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.732783
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:31,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.732940
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:27,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733096
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:22,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733233
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:17,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733382
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:12,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733507
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:07,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733613
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:57:02,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733740
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:58,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.733899
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:52,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.734051
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:47,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.734190
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:43,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.734327
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:38,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.734446
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:33,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.734583
TN 05 CT 5474,868597033157401,0.0,0.0,0.0,03/09/2025 23:56:28,13.0444169,80.1962852,1962852,2025-09-04T23:26:53.734772
