vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:57,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.929667
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:53,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.929810
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:47,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.929953
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:43,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930095
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:37,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930251
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:32,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930402
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:28,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930529
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:22,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930657
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:18,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930762
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:14,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.930860
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:08,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931012
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:58:04,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931133
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:58,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931253
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:54,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931389
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:48,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931493
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:44,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931625
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:38,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931728
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:34,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931830
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:30,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.931932
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:24,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932038
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:20,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932141
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:14,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932273
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:10,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932400
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:04,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932516
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:57:00,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932614
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:54,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932719
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:50,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932817
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:46,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.932932
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:40,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933063
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:36,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933162
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:30,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933269
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:26,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933398
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:20,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933534
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:16,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933639
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:10,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933766
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:06,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933871
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:56:00,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.933981
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:56,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.934109
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:51,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.934233
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:47,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.934378
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:41,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.934542
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:37,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.934722
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:33,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.934884
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:27,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.935085
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:21,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.935277
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:17,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.935437
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:13,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.935596
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:07,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.935785
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:55:03,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.935950
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:57,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936093
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:53,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936241
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:47,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936374
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:43,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936504
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:37,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936628
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:33,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936779
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:29,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.936937
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:23,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937064
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:19,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937171
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:13,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937289
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:09,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937419
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:54:03,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937555
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:53:59,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937712
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:53:55,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937838
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:53:49,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.937936
TN 87 A 3352,865006040264518,0.0,0.0,0.0,03/09/2025 23:53:45,13.1004977,80.1940727,1940727,2025-09-04T23:24:08.938029
