vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:58:59,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.964749
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:58:00,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.964975
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:54,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.965175
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:50,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.965358
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:45,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.965531
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:39,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.965677
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:35,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.965801
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:30,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.965973
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:57:24,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.966168
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:56:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.966368
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:55:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.966538
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:54:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.966700
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:53:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.966843
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:52:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.966993
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:51:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967102
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:50:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967249
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:49:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967370
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:48:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967517
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:47:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967672
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:46:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967834
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:45:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.967967
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:44:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968124
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:43:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968250
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:42:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968373
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:41:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968511
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:40:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968636
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:39:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968792
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:38:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.968940
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:37:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.969078
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:36:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.969248
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:35:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.969416
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:34:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.969598
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:33:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.969796
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:32:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.969991
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:31:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.970167
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:30:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.970342
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:29:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.970533
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:28:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.970713
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:27:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.970904
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:26:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971080
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:25:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971235
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:24:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971351
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:23:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971466
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:22:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971589
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:21:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971717
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:20:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971847
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:19:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.971986
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:18:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.972114
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:17:46,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.972242
TN 87 B 0891,864547034449467,0.0,0.0,0.0,03/09/2025 23:16:45,12.9789829,79.6258306,6258306,2025-09-04T23:25:50.972378
