vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:57,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.895270
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:52,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.895464
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:47,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.895650
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:42,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.895823
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:37,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.895963
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:32,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896133
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:27,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896319
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:22,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896480
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:17,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896597
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:12,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896720
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:07,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896851
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:58:02,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.896987
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:57:57,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.897129
TN 87 E 1253,868960069622021,0.0,0.0,262.92,03/09/2025 23:57:52,13.1359064,80.1755619,1755619,2025-09-04T23:27:13.897251
